
Category,Manufacturer,Model,Release_Year,Architecture,Cores,Threads,Base_Clock_GHz,Boost_Clock_GHz,Process_nm,TDP_W,Cache_MB,GPU_Integrated

# Intel Core i9 Series
Laptop,Intel,Core i9-14900HX,2024,Raptor Lake Refresh,24,32,2.2,5.8,10,55,68,Intel UHD Graphics
Laptop,Intel,Core i9-14900H,2024,Raptor Lake Refresh,14,20,2.6,5.7,10,45,24,Intel Iris Xe
Laptop,Intel,Core i9-13980HX,2023,Raptor Lake,24,32,2.2,5.6,10,55,36,Intel UHD Graphics
Laptop,Intel,Core i9-13900HX,2023,Raptor Lake,24,32,2.2,5.5,10,55,36,Intel UHD Graphics
Laptop,Intel,Core i9-13900H,2023,Raptor Lake,14,20,2.6,5.4,10,45,24,Intel Iris Xe
Laptop,Intel,Core i9-12950HX,2022,Alder Lake,16,24,2.3,5.0,10,55,30,Intel UHD Graphics
Laptop,Intel,Core i9-12900HX,2022,Alder Lake,16,24,2.3,5.0,10,55,30,Intel UHD Graphics
Laptop,Intel,Core i9-12900HK,2022,Alder Lake,14,20,2.5,5.0,10,45,24,Intel Iris Xe
Laptop,Intel,Core i9-12900H,2022,Alder Lake,14,20,2.5,5.0,10,45,24,Intel Iris Xe
Laptop,Intel,Core i9-11980HK,2021,Tiger Lake,8,16,2.6,5.0,10,65,24,Intel Iris Xe
Laptop,Intel,Core i9-11900H,2021,Tiger Lake,8,16,2.5,4.9,10,45,24,Intel Iris Xe
Laptop,Intel,Core i9-10980HK,2020,Comet Lake,8,16,2.4,5.3,14,45,16,Intel UHD Graphics
Laptop,Intel,Core i9-10885H,2020,Comet Lake,8,16,2.4,5.3,14,45,16,Intel UHD Graphics
Laptop,Intel,Core i9-9980HK,2019,Coffee Lake Refresh,8,16,2.4,5.0,14,45,16,Intel UHD Graphics 630
Laptop,Intel,Core i9-9880H,2019,Coffee Lake Refresh,8,16,2.3,4.8,14,45,16,Intel UHD Graphics 630
Laptop,Intel,Core i9-8950HK,2018,Coffee Lake,6,12,2.9,4.8,14,45,12,Intel UHD Graphics 630
Laptop,Intel,Core i9-8850H,2018,Coffee Lake,6,12,2.6,4.3,14,45,9,Intel UHD Graphics 630

# Intel Core i7 Series
Laptop,Intel,Core i7-14700HX,2024,Raptor Lake Refresh,20,28,2.1,5.5,10,55,48,Intel UHD Graphics
Laptop,Intel,Core i7-14700H,2024,Raptor Lake Refresh,14,20,2.5,5.5,10,45,24,Intel Iris Xe
Laptop,Intel,Core i7-14650HX,2024,Raptor Lake Refresh,16,24,2.5,5.0,10,55,30,Intel UHD Graphics
Laptop,Intel,Core i7-13700HX,2023,Raptor Lake,16,24,2.1,5.0,10,55,30,Intel UHD Graphics
Laptop,Intel,Core i7-13700H,2023,Raptor Lake,14,20,2.4,5.0,10,45,24,Intel Iris Xe
Laptop,Intel,Core i7-12800HX,2022,Alder Lake,16,24,2.0,4.8,10,55,25,Intel UHD Graphics
Laptop,Intel,Core i7-12700H,2022,Alder Lake,14,20,2.3,4.7,10,45,24,Intel Iris Xe
Laptop,Intel,Core i7-11800H,2021,Tiger Lake,8,16,2.3,4.6,10,45,24,Intel Iris Xe
Laptop,Intel,Core i7-10875H,2020,Comet Lake,8,16,2.3,5.1,14,45,16,Intel UHD Graphics
Laptop,Intel,Core i7-10750H,2020,Comet Lake,6,12,2.6,5.0,14,45,12,Intel UHD Graphics
Laptop,Intel,Core i7-9850H,2019,Coffee Lake Refresh,6,12,2.6,4.6,14,45,12,Intel UHD Graphics 630
Laptop,Intel,Core i7-9750H,2019,Coffee Lake Refresh,6,12,2.6,4.5,14,45,12,Intel UHD Graphics 630
Laptop,Intel,Core i7-8850H,2018,Coffee Lake,6,12,2.6,4.3,14,45,9,Intel UHD Graphics 630
Laptop,Intel,Core i7-8750H,2018,Coffee Lake,6,12,2.2,4.1,14,45,9,Intel UHD Graphics 630
Laptop,Intel,Core i7-7820HK,2017,Kaby Lake,4,8,2.9,3.9,14,45,8,Intel HD Graphics 630
Laptop,Intel,Core i7-7700HQ,2017,Kaby Lake,4,8,2.8,3.8,14,45,6,Intel HD Graphics 630
Laptop,Intel,Core i7-6820HK,2015,Skylake,4,8,2.7,3.6,14,45,8,Intel HD Graphics 530
Laptop,Intel,Core i7-6700HQ,2015,Skylake,4,8,2.6,3.5,14,45,6,Intel HD Graphics 530
Laptop,Intel,Core i7-4940MX,2014,Haswell,4,8,3.1,4.0,22,57,8,Intel HD Graphics 4600
Laptop,Intel,Core i7-4910MQ,2014,Haswell,4,8,2.9,3.9,22,47,8,Intel HD Graphics 4600
Laptop,Intel,Core i7-4810MQ,2014,Haswell,4,8,2.8,3.8,22,47,6,Intel HD Graphics 4600
Laptop,Intel,Core i7-4800MQ,2013,Haswell,4,8,2.7,3.7,22,47,6,Intel HD Graphics 4600
Laptop,Intel,Core i7-3940XM,2013,Ivy Bridge,4,8,3.0,3.9,22,55,8,Intel HD Graphics 4000
